SourceFile,Aperture,ApertureValue,BitsPerSample,BrightnessValue,CircleOfConfusion,ColorComponents,ColorSpace,ComponentsConfiguration,Compression,CreateDate,CustomRendered,DateTimeOriginal,Directory,EncodingProcess,ExifByteOrder,ExifImageHeight,ExifImageWidth,ExifToolVersion,ExifVersion,ExposureMode,ExposureProgram,ExposureTime,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,Flash,FlashpixVersion,FNumber,FocalLength,FocalLength35efl,FocalLengthIn35mmFormat,FOV,GPSAltitude,GPSAltitudeRef,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSTimeStamp,HDRImageType,HyperfocalDistance,ImageHeight,ImageSize,ImageWidth,ISO,JFIFVersion,LensInfo,LensMake,LensModel,LightValue,Make,MeteringMode,MIMEType,Model,ModifyDate,Orientation,ResolutionUnit,RunTimeEpoch,RunTimeFlags,RunTimeScale,RunTimeSincePowerUp,RunTimeValue,ScaleFactor35efl,SceneCaptureType,SceneType,SensingMethod,ShutterSpeed,ShutterSpeedValue,Software,SubSecCreateDate,SubSecDateTimeOriginal,SubSecTimeDigitized,SubSecTimeOriginal,ThumbnailImage,ThumbnailLength,ThumbnailOffset,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution
/Users/chuckkahn/Pictures/Exiftool compare/005655.jpg,,,8,,,3,Uncalibrated,"Y, Cb, Cr, -",,2014:07:19 20:56:55,,2014:07:19 20:56:55,/Users/chuckkahn/Pictures/Exiftool compare,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",,,9.59,0230,,,,2014:07:20 16:40:11-04:00,2014:07:20 16:39:43-04:00,2014:07:20 10:55:46-04:00,005655.jpg,rw-r--r--,804 kB,JPEG,,0100,,,,,,,,,,,,,,,,,,1944,2592x1944,2592,,1.01,,,,,,,image/jpeg,Narrative Clip,2014:07:19 20:56:55,Rotate 270 CW,inches,,,,,,,,,,,,,,,,,,,,,0,Centered,YCbCr4:2:2 (2 1),0
/Users/chuckkahn/Pictures/Exiftool compare/IMG_7810.JPG,2.2,2.2,8,7.792568203,0.004 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2014:07:04 20:18:04,Unknown (2),2014:07:04 20:18:04,/Users/chuckkahn/Pictures/Exiftool compare,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,9.59,0221,Auto,Program AE,1/570,2014:07:20 16:40:11-04:00,2014:07:20 16:39:51-04:00,2014:07:04 20:18:04-04:00,IMG_7810.JPG,rw-------,3.3 MB,JPEG,No Flash,0100,2.2,4.1 mm,4.1 mm (35 mm equivalent: 30.0 mm),30 mm,61.9 deg,113.9 m Above Sea Level,Above Sea Level,336.231441,True North,"43 deg 40' 9.70"" N",North,"79 deg 21' 11.15"" W",West,"43 deg 40' 9.70"" N, 79 deg 21' 11.15"" W",00:18:03.38,Unknown (2),1.87 m,2448,3264x2448,3264,32,,4.12mm f/2.2,Apple,iPhone 5s back camera 4.12mm f/2.2,13.1,Apple,Multi-segment,image/jpeg,iPhone 5s,2014:07:04 20:18:04,Horizontal (normal),inches,0,Valid,1000000000,2 days 1:10:15,177015423136250,7.3,Standard,Directly photographed,One-chip color area,1/570,1/570,7.1.2,2014:07:04 20:18:04.054,2014:07:04 20:18:04.054,054,054,"(Binary data 10832 bytes, use -b option to extract)",10832,1830,Auto,72,Centered,YCbCr4:2:0 (2 2),72
